epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4563,1.37594,12.5489,1.48485,0.65106,0.13448,0.14986,0.07924,0.41798,11.4673,0.43098,0.000132462,0.000132462,0.000132462
2,148.725,1.72581,4.53155,1.77494,0.17396,0.09488,0.09191,0.03347,0.4635,15.4945,0.49402,0.000263164,0.000263164,0.000263164
3,222.904,1.72621,3.67239,1.76356,0.44052,0.10534,0.06982,0.03072,0.49848,32.2801,0.52781,0.000391226,0.000391226,0.000391226
4,296.985,1.83032,3.8745,1.84834,0.42953,0.0369,0.0538,0.01846,0.49209,4.07601,0.54478,0.00038812,0.00038812,0.00038812
5,371.316,1.84764,3.54885,1.93785,0.15707,0.06331,0.05429,0.02061,0.53064,5.29284,0.55172,0.00038416,0.00038416,0.00038416
6,445.306,1.71176,3.27043,1.80533,0.34862,0.05893,0.06634,0.03734,0.49597,2.67881,0.51421,0.0003802,0.0003802,0.0003802
7,519.089,1.7193,3.01392,1.79903,0.55368,0.11299,0.10218,0.03299,0.4771,5.21663,0.50063,0.00037624,0.00037624,0.00037624
8,592.671,1.6738,3.02434,1.78126,0.47295,0.16478,0.10683,0.04568,0.45841,3.2721,0.52996,0.00037228,0.00037228,0.00037228
9,666.787,1.68652,2.95863,1.78189,0.35776,0.14615,0.11407,0.05053,0.46362,2.07772,0.50045,0.00036832,0.00036832,0.00036832
10,740.599,1.60704,3.06193,1.7055,0.55222,0.11667,0.10589,0.05579,0.44647,2.2895,0.48295,0.00036436,0.00036436,0.00036436
11,814.053,1.71783,2.8054,1.79266,0.44844,0.10564,0.10672,0.05019,0.44633,4.40005,0.47861,0.0003604,0.0003604,0.0003604
12,887.563,1.58068,2.80819,1.69542,0.54227,0.11961,0.14423,0.08566,0.42371,3.79246,0.47557,0.00035644,0.00035644,0.00035644
13,961.158,1.5257,2.49686,1.6729,0.45981,0.23367,0.19462,0.09031,0.43721,3.74315,0.4992,0.00035248,0.00035248,0.00035248
14,1034.98,1.45716,2.58688,1.61239,0.4819,0.18791,0.15954,0.08519,0.42095,3.79446,0.48502,0.00034852,0.00034852,0.00034852
15,1108.47,1.45806,2.47918,1.65599,0.46419,0.1969,0.16399,0.08094,0.43573,2.98429,0.47393,0.00034456,0.00034456,0.00034456
16,1182.01,1.40607,2.31292,1.60739,0.49897,0.20501,0.17831,0.09525,0.45055,2.34402,0.49493,0.0003406,0.0003406,0.0003406
17,1255.76,1.3959,2.33308,1.61529,0.587,0.14922,0.15151,0.08103,0.41607,3.26883,0.47169,0.00033664,0.00033664,0.00033664
18,1329.45,1.40315,2.42337,1.55928,0.57856,0.17127,0.14993,0.07462,0.43588,2.11568,0.48876,0.00033268,0.00033268,0.00033268
19,1402.99,1.3766,2.2228,1.59271,0.61845,0.15791,0.18131,0.10969,0.42769,1.83743,0.47255,0.00032872,0.00032872,0.00032872
20,1476.97,1.44162,2.22356,1.61219,0.50542,0.26353,0.20254,0.09985,0.42248,1.17641,0.47556,0.00032476,0.00032476,0.00032476
21,1550.68,1.26076,2.04832,1.47837,0.58378,0.25008,0.16638,0.08936,0.44545,1.72082,0.49672,0.0003208,0.0003208,0.0003208
22,1624.56,1.36805,2.08507,1.54319,0.55239,0.25949,0.24125,0.13119,0.39991,1.44458,0.45111,0.00031684,0.00031684,0.00031684
23,1698.13,1.29868,2.08664,1.49776,0.53942,0.22102,0.20202,0.10989,0.43108,0.97121,0.47201,0.00031288,0.00031288,0.00031288
24,1771.79,1.34605,2.13456,1.53251,0.58297,0.195,0.19922,0.10954,0.41948,1.78208,0.47277,0.00030892,0.00030892,0.00030892
25,1845.53,1.31657,1.93389,1.51292,0.54894,0.20034,0.20417,0.11401,0.41561,1.07312,0.4564,0.00030496,0.00030496,0.00030496
26,1918.88,1.22142,1.83426,1.44163,0.57981,0.22618,0.2557,0.15858,0.42299,1.96461,0.46458,0.000301,0.000301,0.000301
27,1992.57,1.22332,1.88674,1.46458,0.81127,0.28986,0.27852,0.15511,0.40423,3.36862,0.45824,0.00029704,0.00029704,0.00029704
28,2065.82,1.25219,1.92152,1.46958,0.82228,0.2267,0.28396,0.15607,0.4051,2.785,0.4653,0.00029308,0.00029308,0.00029308
29,2139.14,1.21537,1.78679,1.42317,0.66705,0.2512,0.25997,0.15016,0.41429,1.39593,0.47265,0.00028912,0.00028912,0.00028912
30,2212.55,1.22982,1.75481,1.43023,0.62759,0.22403,0.21035,0.11643,0.40359,1.36278,0.45727,0.00028516,0.00028516,0.00028516
31,2286.06,1.18886,1.70425,1.41925,0.74719,0.24785,0.29327,0.16821,0.42217,1.34522,0.46821,0.0002812,0.0002812,0.0002812
32,2359.74,1.17687,1.59703,1.41858,0.66335,0.26375,0.28743,0.15019,0.42049,1.12485,0.48117,0.00027724,0.00027724,0.00027724
33,2433.62,1.1904,1.64388,1.43633,0.68808,0.25406,0.27837,0.16684,0.44217,1.20811,0.50926,0.00027328,0.00027328,0.00027328
34,2507.27,1.22403,1.7677,1.4299,0.71792,0.19628,0.25128,0.15009,0.40884,4.25457,0.4641,0.00026932,0.00026932,0.00026932
35,2580.76,1.15382,1.60586,1.37433,0.70159,0.24952,0.27365,0.16239,0.41306,1.2168,0.46544,0.00026536,0.00026536,0.00026536
36,2654.12,1.16702,1.64307,1.38747,0.77318,0.25546,0.29415,0.15755,0.42154,0.93501,0.45898,0.0002614,0.0002614,0.0002614
37,2727.81,1.1208,1.40768,1.3527,0.77696,0.21322,0.25604,0.16007,0.4262,0.85402,0.48642,0.00025744,0.00025744,0.00025744
38,2801.41,1.1469,1.50877,1.40817,0.49326,0.26204,0.26288,0.15229,0.43058,1.16139,0.48187,0.00025348,0.00025348,0.00025348
39,2874.87,1.09539,1.43922,1.32426,0.76596,0.23994,0.2544,0.15659,0.44668,1.18215,0.49066,0.00024952,0.00024952,0.00024952
40,2948.13,1.08522,1.46477,1.35751,0.83099,0.25433,0.30895,0.17638,0.44304,2.00194,0.49223,0.00024556,0.00024556,0.00024556
41,3021.74,1.07784,1.43121,1.32218,0.84984,0.22897,0.29352,0.17458,0.43608,0.71694,0.49584,0.0002416,0.0002416,0.0002416
42,3095.3,1.03891,1.2761,1.31791,0.8185,0.25266,0.28926,0.17634,0.45633,1.01727,0.50176,0.00023764,0.00023764,0.00023764
43,3168.95,1.04975,1.35825,1.33185,0.75586,0.28484,0.29529,0.17689,0.40163,0.748,0.44856,0.00023368,0.00023368,0.00023368
44,3242.63,1.05044,1.24521,1.30054,0.69283,0.22172,0.22435,0.13824,0.41551,0.79897,0.46518,0.00022972,0.00022972,0.00022972
45,3316.23,1.06311,1.34631,1.3158,0.7569,0.24332,0.29143,0.16248,0.43165,0.91432,0.48814,0.00022576,0.00022576,0.00022576
46,3389.58,1.03801,1.28288,1.27651,0.7791,0.2661,0.30651,0.19294,0.43617,0.81832,0.48557,0.0002218,0.0002218,0.0002218
47,3463.34,0.98817,1.28486,1.28553,0.71096,0.25027,0.2842,0.15021,0.43729,1.02925,0.49173,0.00021784,0.00021784,0.00021784
48,3537.19,0.99812,1.26569,1.27972,0.5283,0.28743,0.30285,0.18531,0.43159,0.76015,0.48834,0.00021388,0.00021388,0.00021388
49,3610.98,0.99142,1.29409,1.27621,0.74168,0.24686,0.29056,0.16645,0.41392,1.08724,0.47317,0.00020992,0.00020992,0.00020992
50,3684.56,1.00508,1.16521,1.29155,0.7535,0.28601,0.32176,0.1793,0.4202,1.78012,0.48392,0.00020596,0.00020596,0.00020596
51,3757.96,0.98206,1.1371,1.24706,0.82704,0.30668,0.31822,0.18941,0.44805,1.11076,0.49649,0.000202,0.000202,0.000202
52,3831.41,0.92886,1.1553,1.24884,0.83135,0.28652,0.28198,0.17709,0.43868,0.85418,0.4914,0.00019804,0.00019804,0.00019804
53,3904.85,0.9619,1.11152,1.23365,0.80824,0.24026,0.28013,0.19506,0.43636,0.78278,0.50453,0.00019408,0.00019408,0.00019408
54,3978.44,0.93233,1.16815,1.20302,0.86538,0.28964,0.29327,0.18719,0.44318,0.65616,0.50857,0.00019012,0.00019012,0.00019012
55,4051.96,0.90136,1.03524,1.19366,0.71246,0.24685,0.25269,0.15582,0.42874,0.88974,0.49526,0.00018616,0.00018616,0.00018616
56,4125.48,0.89821,1.0386,1.21876,0.6699,0.28342,0.31739,0.18515,0.43153,0.76267,0.49983,0.0001822,0.0001822,0.0001822
57,4198.95,0.9105,1.05571,1.21428,0.85208,0.24501,0.28978,0.18434,0.43968,0.73566,0.4978,0.00017824,0.00017824,0.00017824
58,4272.57,0.85336,0.96788,1.17945,0.75193,0.27199,0.29126,0.17893,0.43956,0.80907,0.48737,0.00017428,0.00017428,0.00017428
59,4346.06,0.85074,0.97329,1.18071,0.85083,0.25899,0.28269,0.18574,0.4204,1.24746,0.47563,0.00017032,0.00017032,0.00017032
60,4419.56,0.89547,0.99101,1.21318,0.75237,0.30453,0.27052,0.17706,0.42374,1.57756,0.47638,0.00016636,0.00016636,0.00016636
61,4493.27,0.85142,0.98552,1.17787,0.75566,0.27948,0.2945,0.16955,0.4582,0.7718,0.51955,0.0001624,0.0001624,0.0001624
62,4566.74,0.85803,1.00645,1.14877,0.84694,0.25913,0.2918,0.18359,0.45393,1.05299,0.51532,0.00015844,0.00015844,0.00015844
63,4640.09,0.85388,0.9733,1.17705,0.8206,0.28444,0.30557,0.1761,0.43609,0.87586,0.50219,0.00015448,0.00015448,0.00015448
64,4713.62,0.81118,0.90165,1.15909,0.6335,0.32013,0.30443,0.2072,0.42932,0.69107,0.49542,0.00015052,0.00015052,0.00015052
65,4787.39,0.83412,0.94734,1.16013,0.73,0.2605,0.27603,0.17052,0.43003,0.57132,0.48276,0.00014656,0.00014656,0.00014656
66,4860.92,0.81452,0.89633,1.14175,0.81091,0.2342,0.27418,0.17832,0.44424,0.75161,0.51643,0.0001426,0.0001426,0.0001426
67,4934.57,0.84545,0.88524,1.14151,0.85923,0.21192,0.28272,0.17258,0.44436,1.14447,0.5012,0.00013864,0.00013864,0.00013864
68,5007.99,0.83703,0.93746,1.1583,0.80002,0.28432,0.32893,0.19125,0.42985,0.90293,0.49327,0.00013468,0.00013468,0.00013468
69,5081.61,0.79939,0.88664,1.12595,0.92551,0.27008,0.32793,0.19452,0.43359,0.77945,0.49571,0.00013072,0.00013072,0.00013072
70,5155.03,0.74594,0.82234,1.10901,0.85975,0.28049,0.31178,0.201,0.42838,0.95889,0.49521,0.00012676,0.00012676,0.00012676
71,5228.62,0.76356,0.82106,1.1015,0.77601,0.2747,0.30707,0.20864,0.44048,0.82486,0.51369,0.0001228,0.0001228,0.0001228
